scope,prompting_configuration,model,category,N,CV,ES,EM,SE,SE_binary_rate,RQ,gen_time_ms_median,gen_time_ms_mean
category_x_model_x_config,Schema+Values,llama3.2:3b,Health Risk,30,0.7333,0.0667,0.0,0.0,0.0,0.0333,6103.3,6096.3
category_x_model_x_config,Schema+Values,llama3.2:3b,Station Filtering,30,0.7667,0.7667,0.0,0.068,0.0333,0.1333,6995.4,6250.1
category_x_model_x_config,Schema+Values,llama3.2:3b,Temporal,30,0.3333,0.1,0.0,0.0,0.0,0.0167,9013.8,8608.5
category_x_model_x_config,Schema+Values,qwen2.5-coder:32b,Aggregate,38,1.0,1.0,0.0,0.0239,0.0,0.5263,16932.8,15989.0
category_x_model_x_config,Schema+Values,qwen2.5-coder:32b,Comparative,22,0.3636,0.2727,0.0,0.2273,0.2273,0.2273,16226.4,15158.3
category_x_model_x_config,Schema+Values,qwen2.5-coder:32b,Health Risk,30,0.8667,0.4333,0.0,0.0333,0.0,0.4,24202.5,23647.3
category_x_model_x_config,Schema+Values,qwen2.5-coder:32b,Station Filtering,30,0.9333,0.3667,0.0,0.2125,0.1,0.1667,10790.2,12143.4
category_x_model_x_config,Schema+Values,qwen2.5-coder:32b,Temporal,30,0.5,0.5,0.0,0.0267,0.0,0.0333,24687.8,22691.6
category_x_model_x_config,Schema+Values,qwen2.5:72b,Aggregate,38,1.0,0.7895,0.0,0.1148,0.0,0.3947,14301.6,13951.6
category_x_model_x_config,Schema+Values,qwen2.5:72b,Comparative,22,0.8636,0.7727,0.0,0.0,0.0,0.0,10994.4,12486.0
category_x_model_x_config,Schema+Values,qwen2.5:72b,Health Risk,30,1.0,0.5667,0.0,0.0,0.0,0.25,15843.7,18312.1
category_x_model_x_config,Schema+Values,qwen2.5:72b,Station Filtering,30,1.0,1.0,0.0,0.2547,0.2333,0.1333,19127.7,23241.0
category_x_model_x_config,Schema+Values,qwen2.5:72b,Temporal,30,1.0,0.1,0.0,0.0933,0.0667,0.1,13292.7,14852.6
category_x_model_x_config,DKB-NoExamples,gemma2:9b,Aggregate,38,0.8421,0.8421,0.0,0.0395,0.0,0.4211,6883.4,6575.6
category_x_model_x_config,DKB-NoExamples,gemma2:9b,Comparative,22,0.7273,0.7273,0.0,0.1052,0.0,0.4091,12465.6,12594.6
category_x_model_x_config,DKB-NoExamples,gemma2:9b,Health Risk,30,0.3667,0.3667,0.0,0.0,0.0,0.1833,8485.3,8237.1
category_x_model_x_config,DKB-NoExamples,gemma2:9b,Station Filtering,30,0.8,0.8,0.0,0.1784,0.0333,0.4,10214.6,11503.0
category_x_model_x_config,DKB-NoExamples,gemma2:9b,Temporal,30,0.0,0.0,0.0,0.0,0.0,0.0,10053.5,9673.2
category_x_model_x_config,DKB-NoExamples,llama3.2:3b,Aggregate,38,0.7895,0.5,0.0,0.0263,0.0,0.25,4554.2,5589.5
category_x_model_x_config,DKB-NoExamples,llama3.2:3b,Comparative,22,0.4545,0.4091,0.0,0.0,0.0,0.0227,9077.5,8863.7
category_x_model_x_config,DKB-NoExamples,llama3.2:3b,Health Risk,30,0.9,0.6333,0.0,0.0111,0.0,0.3167,6898.0,7655.2
category_x_model_x_config,DKB-NoExamples,llama3.2:3b,Station Filtering,30,1.0,0.8,0.0,0.0884,0.0333,0.1167,8167.9,8285.0
category_x_model_x_config,DKB-NoExamples,llama3.2:3b,Temporal,30,0.4,0.0,0.0,0.0,0.0,0.0,7853.2,7851.1
category_x_model_x_config,DKB-NoExamples,qwen2.5-coder:32b,Aggregate,38,1.0,1.0,0.0,0.549,0.0,0.5,10152.3,11475.1
category_x_model_x_config,DKB-NoExamples,qwen2.5-coder:32b,Comparative,22,1.0,1.0,0.0,0.6727,0.2727,0.5909,24402.3,22750.6
category_x_model_x_config,DKB-NoExamples,qwen2.5-coder:32b,Health Risk,30,1.0,1.0,0.0,0.3,0.0,0.5,23477.9,24513.1
category_x_model_x_config,DKB-NoExamples,qwen2.5-coder:32b,Station Filtering,30,1.0,1.0,0.0,0.421,0.0333,0.4,13056.7,13714.4
category_x_model_x_config,DKB-NoExamples,qwen2.5-coder:32b,Temporal,30,0.7,0.5667,0.0,0.5667,0.5667,0.3333,17994.4,18097.0
category_x_model_x_config,DKB-NoExamples,qwen2.5:72b,Aggregate,38,1.0,0.7368,0.0,0.3852,0.0,0.3553,10203.9,11961.9
category_x_model_x_config,DKB-NoExamples,qwen2.5:72b,Comparative,22,0.9545,0.8636,0.0,0.1149,0.0,0.1591,24797.7,25162.6
category_x_model_x_config,DKB-NoExamples,qwen2.5:72b,Health Risk,30,0.9333,0.8667,0.0,0.0,0.0,0.4333,18772.0,17269.6
category_x_model_x_config,DKB-NoExamples,qwen2.5:72b,Station Filtering,30,1.0,1.0,0.0,0.2105,0.0333,0.25,21826.4,24168.6
category_x_model_x_config,DKB-NoExamples,qwen2.5:72b,Temporal,30,1.0,0.8,0.0,0.6,0.6,0.4,14092.5,13547.2
category_x_model_x_config,DKB,gemma2:9b,Aggregate,38,0.8684,0.8684,0.0,0.5921,0.0,0.8684,8170.3,8402.1
category_x_model_x_config,DKB,gemma2:9b,Comparative,22,0.0,0.0,0.0,0.0,0.0,0.0,6917.9,6923.7
category_x_model_x_config,DKB,gemma2:9b,Health Risk,30,0.2333,0.2333,0.0,0.0533,0.0,0.1167,6441.7,6615.6
category_x_model_x_config,DKB,gemma2:9b,Station Filtering,30,0.4,0.4,0.0,0.2324,0.1333,0.2667,8226.7,7809.5
category_x_model_x_config,DKB,gemma2:9b,Temporal,30,1.0,0.5333,0.0,0.1828,0.0,0.5333,9039.1,8686.8
category_x_model_x_config,DKB,llama3.2:3b,Aggregate,38,0.9737,0.9211,0.0,0.0105,0.0,0.1053,4404.0,4616.4
category_x_model_x_config,DKB,llama3.2:3b,Comparative,22,0.2727,0.2727,0.0,0.0,0.0,0.0682,5584.2,5705.3
category_x_model_x_config,DKB,llama3.2:3b,Health Risk,30,1.0,0.9333,0.0,0.0,0.0,0.4667,4248.0,3911.0
category_x_model_x_config,DKB,llama3.2:3b,Station Filtering,30,0.2,0.1333,0.0,0.0333,0.0333,0.0167,3937.3,4967.5
category_x_model_x_config,DKB,llama3.2:3b,Temporal,30,0.8667,0.7,0.0,0.0267,0.0,0.1,5395.6,5308.8
category_x_model_x_config,DKB,qwen2.5-coder:32b,Aggregate,38,1.0,1.0,0.0,0.6938,0.0,1.0,9451.4,9422.0
category_x_model_x_config,DKB,qwen2.5-coder:32b,Comparative,22,0.3182,0.1364,0.0,0.0,0.0,0.0,18042.4,17808.5
category_x_model_x_config,DKB,qwen2.5-coder:32b,Health Risk,30,1.0,1.0,0.0,0.6833,0.3667,0.5,15919.5,13711.3
category_x_model_x_config,DKB,qwen2.5-coder:32b,Station Filtering,30,1.0,0.5,0.0,0.3084,0.1667,0.5,13694.8,13258.5
category_x_model_x_config,DKB,qwen2.5-coder:32b,Temporal,30,0.6,0.4667,0.0,0.44,0.3333,0.4667,9381.4,11639.7
category_x_model_x_config,DKB,qwen2.5:72b,Aggregate,38,1.0,1.0,0.0,0.8096,0.0,1.0,16461.2,15357.2
category_x_model_x_config,DKB,qwen2.5:72b,Comparative,22,1.0,1.0,0.0,0.9273,0.6364,1.0,17890.8,16323.4
category_x_model_x_config,DKB,qwen2.5:72b,Health Risk,30,1.0,1.0,0.0,0.3167,0.0,0.5,17790.2,15123.7
